listing_id,date,available,price
2015,2019-09-10,f,
2015,2019-09-09,f,
2015,2019-09-08,f,
2015,2019-09-07,f,
2015,2019-09-06,f,
2015,2019-09-05,f,
2015,2019-09-04,f,
2015,2019-09-03,f,
2015,2019-09-02,f,
2015,2019-09-01,f,
2015,2019-08-31,f,
2015,2019-08-30,f,
2015,2019-08-29,f,
2015,2019-08-28,f,
2015,2019-08-27,f,
2015,2019-08-26,f,
2015,2019-08-25,f,
2015,2019-08-24,f,
2015,2019-08-23,f,
2015,2019-08-22,f,
2015,2019-08-21,f,
2015,2019-08-20,f,
2015,2019-08-19,f,
2015,2019-08-18,f,
2015,2019-08-17,f,
2015,2019-08-16,f,
2015,2019-08-15,f,
2015,2019-08-14,f,
2015,2019-08-13,f,
2015,2019-08-12,f,
2015,2019-08-11,f,
2015,2019-08-10,f,
2015,2019-08-09,f,
2015,2019-08-08,f,
2015,2019-08-07,f,
2015,2019-08-06,f,
2015,2019-08-05,f,
2015,2019-08-04,f,
2015,2019-08-03,f,
2015,2019-08-02,f,
2015,2019-08-01,f,
2015,2019-07-31,f,
2015,2019-07-30,f,
2015,2019-07-29,f,
2015,2019-07-28,f,
2015,2019-07-27,f,
2015,2019-07-26,f,
2015,2019-07-25,f,
2015,2019-07-24,f,
